,cat_investment,cat_size,net_assets,portfolio_stocks,portfolio_bonds,price_earnings,price_book,price_sales,price_cashflow,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,label
1781,1,1,18800000.0,99.74,0.0,15.1,2.41,1.41,7.51,2.6,12.22,12.56,4.79,7.56,14.89,3.23,2.53,5.58,11.49,22.54,0
1782,1,0,14920000.0,99.81,0.0,15.82,2.05,1.28,7.85,5.41,16.91,16.61,12.6,1.24,8.0,3.89,0.31,3.62,16.12,15.31,0
1783,1,-1,5210000.0,99.43,0.0,16.39,1.7,0.7,6.85,5.6,14.05,13.86,10.3,4.58,14.36,2.33,2.6,4.1,16.86,11.37,-1
1784,-1,1,81640000.0,98.36,0.0,10.3,1.31,0.81,5.05,7.5,8.03,30.56,2.44,8.4,2.88,6.8,9.86,7.68,5.47,10.38,0
1785,0,0,1350000000.0,99.87,0.0,20.76,2.73,1.87,19.18,0.0,0.94,0.0,0.0,1.28,9.49,0.0,0.0,1.72,41.18,45.39,0
1786,0,0,36500000.0,99.64,0.0,22.58,2.96,2.31,16.87,0.0,5.77,0.0,0.48,0.0,7.8,0.0,0.48,0.0,19.1,66.37,0
1788,-1,1,1910000000.0,95.58,0.0,13.37,1.4,0.83,5.79,5.06,12.17,21.24,6.65,8.08,11.49,5.61,6.69,5.72,13.41,3.9,0
1789,-1,-1,23620000.0,94.79,0.0,11.21,1.26,0.58,4.95,6.77,19.09,10.41,7.84,5.69,9.36,1.59,2.95,4.68,18.46,13.16,0
1790,0,1,325930000.0,47.84,0.0,19.75,5.34,3.72,12.25,0.1,0.72,0.0,0.1,0.0,0.0,0.0,0.24,0.0,0.21,98.64,1
1791,-1,-1,71470000.0,99.49,0.47,25.35,1.48,3.77,7.8,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1792,-1,0,29560000.0,99.86,0.0,30.33,2.17,3.95,6.27,0.0,0.0,0.0,98.03,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0
1793,-1,1,243880000.0,99.26,0.0,12.93,2.07,0.86,6.2,3.57,11.99,15.62,1.63,8.23,15.38,2.85,5.09,6.02,10.83,18.8,0
1794,0,1,2270000000.0,99.82,0.0,22.11,3.86,2.71,11.49,1.93,11.82,7.46,2.49,8.44,14.85,3.84,0.96,10.12,15.53,22.56,0
1797,-1,1,908560000.0,99.46,0.0,9.97,1.12,0.56,3.75,1.56,17.61,32.41,0.46,10.36,6.44,2.61,2.45,11.41,8.83,5.85,0
1798,1,1,15560000000.0,99.6,0.0,15.69,2.39,1.45,7.49,4.15,14.9,14.17,5.61,7.55,12.28,5.54,1.62,6.01,15.18,12.97,0
